Taxon,Habitat,Diet,weight (g),BMR
Neotoma cinerea,Terrestrial,Leaves,321,0.78
Neotomafuscipes,Terrestrial,Leaves,187,0.79
Neotoma labigula,Terrestrial,Leaves,194,0.73
Neotoma lepida,Terrestrial,Leaves,120,0.71
Cricetus cricetus,Terrestrial,Omnivorous,400,0.57
Mesocrjcetus auratus,Terrestrial,Omnivorous,98,1.5
Spalax leucodon,Fossorial,Roots,208,0.77
Tachyoryctes splendens,Fossorial,Roots,203,0.77
Dicrostonyx groenlandicus,Terrestrial,Leaves,61,1.55
Dicrostonyx torquatus,Terrestrial,Leaves,47,1.97
Lemmus sibericus,Terrestrial,Grass,64,2.47
Clethrionomys gapperi,Terrestrial,Seeds/Nuts,16.5,3.6
Clethrionomys glareolus,Terrestrial,Seeds/Nuts,19.8,2.8
Clethrionomys rufocanus,Terrestrial,Seeds/Nuts,27.5,2
Alticola roylei,Terrestrial,Grass,53,2.3
Arvicola richardsoni,Terrestrial,Grass,51,1.74
Arvicola terrestris,Terrestrial,Grass,97,1.16
Ondatra zibethicus,Terrestrial,Grass,842,0.82
Neofiber alleni,Terrestrial,Grass,276,0.85
Phenocomys intermedius,Terrestrial,Leaves,26,3
Microtus arvalis,Terrestrial,Grass,20,2.5
Microtus californicus,Terrestrial,Grass,44,1.55
Microtus longicaudus,Terrestrial,Grass,27,2.67
Microtus mexicanus,Terrestrial,Grass,28,1.63
Microtus montanus,Terrestrial,Grass,31,2.65
Microtus nivalis,Terrestrial,Grass,35,3.06
Microtus ochragaster,Terrestrial,Grass,51,1.18
Microtus oeconomus,Terrestrial,Grass,32,2.5
Microtus pennsylvanicus,Terrestrial,Grass,38,1.93
Microtus pinetorum,Terrestrial,Grass,25,1.98
Microtus agrestis,Terrestrial,Grass,22,2.99
Lagurus curtatus,Terrestrial,Leaves,29,1.56
Meriones unguiculatus,Terrestrial,Omnivorous,70,1.4
Micromys minutus,Terrestrial,Seeds/Nuts,6,6.7
Golunda ellioti,Terrestrial,Grass,56,1.08
Lemniscomys griselda,Terrestrial,Grass,51,1.21
Rattus norvegicus,Terrestrial,Omnivorous,237,1.32
Mus musculus,Terrestrial,Seeds/Nuts,20.5,3.4
Zapus hudsonius,Terrestrial,Seeds/Nuts,25,1.5
Napaeozapus insignia,Terrestrial,Omnivorous,22,1.8
Cavia porcellus,Terrestrial,Grass,570,0.7
Cuniculus paca,Arboreal,Fruit,4507,0.44
Dasyprocta azarea,Arboreal,Seeds/Nuts,3849,0.49
Dasyprocta leporina,Arboreal,Seeds/Nuts,2687,58
Chinchilla lanigera,Terrestrial,Grass,403,0.7
Capromys pilorides,Arboreal,Leaves,2630,23
Myocaster coypus,Terrestrial,Grass,4325,0.7
Proechimys semispinosus,Arboreal,Fruit,498,0.63
Heliophobius kapeti,Fossorial,Roots,89,0.87
Heterocephalus glaber,Fossorial,Roots,39,0.55
Ochotonr: princeps,Terrestrial,Grass,109,1.53
Lepus alleni,Terrestrial,Grass,3362,0.45
Lepus americanus,Terrestrial,Grass,1581,90
Lepus californicus,Terrestrial,Grass,1989,0.56
Lepus timidus,Terrestrial,Grass,3004,0.36
Sylvilagus audubonii,Terrestrial,Grass,702,0.63
Elephantulus edwardii,Terrestrial,Invertebrates,50,1.09
Elephantulus rugescens,Terrestrial,Invertebrates,53,1.07
Petrodromus tetradactylus,Terrestrial,Invertebrates,210,0.61
